Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/NamingSystem-rheumatic-fever-ccs-id.json	1133	0	0	0	0	0	0	0	0	2	8	0	0	0	0	0	0	0	0	0	47	10	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-sdhr-id.json	1188	0	2	0	0	0	0	0	1	1	6	0	0	0	1	0	0	0	0	0	38	8	0	0	0	0	0	0
fsh-generated/resources/Organization-organization-edi-address.json	502	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	45	8	0	0	0	0	0	0
fsh-generated/resources/Organization-organization-funded-programme.json	916	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	50	7	0	0	1	0	0	0
fsh-generated/resources/Organization-organization-moh.json	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	6	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-address-building-name.json	862	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	43	9	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-address-suburb.json	978	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	37	6	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-building-name.json	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	6	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-deceased-information-source.json	767	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	40	6	0	0	0	0	0	1
fsh-generated/resources/Patient-patient-dhb.json	575	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	6	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-domicile-code.json	570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	6	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-information-source.json	1064	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	47	6	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-messaging-address.json	549	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	5	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-nhi.json	959	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	51	6	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-nz-citizenship.json	1028	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	40	6	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-nz-ethnicity.json	911	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	6	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-nz-geocode.json	666	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	47	7	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-nz-residency.json	1030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	5	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-pho.json	568	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	6	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-sex-at-birth.json	527	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	53	6	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-suburb.json	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	6	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner-additional-authorisation.json	1181	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	38	8	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner-condition-on-practice.json	930	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	41	6	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner-death-date.json	754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	6	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner-edi-address.json	529	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	45	6	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner-educational-qualification.json	1375	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	41	7	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner-registration-initial-date.json	641	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	46	5	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner-registration-status-code.json	1281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	6	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner-scope-of-practice.json	1197	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	41	6	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-practitionerRole-creator.json	930	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	46	14	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-practitionerRole-messaging-address.json	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	6	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-practitionerRole-status-reason.json	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-NzAddress.json	3174	1	0	26	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	87	498	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-NzCondition.json	1449	1	0	17	0	0	0	0	0	58	0	0	1	0	0	0	0	1	0	0	194	290	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-NzContactPoint.json	1377	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	63	101	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-NzCoverage.json	1511	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	240	0	0	0	3	0	2
fsh-generated/resources/StructureDefinition-NzHealthcareService.json	2618	1	0	21	0	0	0	0	1	13	0	0	0	0	1	0	0	0	0	0	208	288	0	1	0	3	0	0
