URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org.nz/fhir/CodeSystem/nz-relationship-codes,1.1.0,active,,NzRelationshipCodes,NZ Relationship Type Code System,"Code system for NZ relationship type codes.",
https://standards.digital.health.nz/ns/acc-patient-occupation-code,1.0.1,active,,AccPatientOccupationCodeSystem,ACC Patient Occupation CodeSystem,"Codes for classifying patient occupations, drawn from the ACC codeset",
https://standards.digital.health.nz/ns/alias-type-code,2.0.0,active,,AliasType,Type of Alias,"Used in Organization and Location to indicate what is the type of Alias",
https://standards.digital.health.nz/ns/contact-point-purpose-code,1.0.0,active,,ContactPointPurpose,ContactPoint purpose,"The purpose of a ContactPoint - what it is used for.",
https://standards.digital.health.nz/ns/coverage-category-code,1.0.0,active,,CoverageCategory,Coverage category,"New Zealand codes for Coverage category types",
https://standards.digital.health.nz/ns/coverage-type-code,1.1.0,active,,CoverageType,Coverage type,"New Zealand codes for Coverage Types",
https://standards.digital.health.nz/ns/dhb-code,1.0.0,active,,Dhb_code,NZ DHB,"NZ District Health Board (HPI-ORG) Codes",
https://standards.digital.health.nz/ns/domicile-code,3.0,active,,DomicileCode,Domicile Code,"Domicile codes",
https://standards.digital.health.nz/ns/ethnic-group-level-4-code,2.1.0,active,,EthnicityL4,Level 4 ethnicity codes,"Codes to record a person’s ethnicity, drawn from Level 4 of the Ethnicity code system  described [here](http://aria.stats.govt.nz/aria/#ClassificationView:uri=http://stats.govt.nz/cms/ClassificationVersion/YVqOcFHSlguKkT17)",
https://standards.digital.health.nz/ns/funded-programme-code,1.0.0,active,,FundedProgramme,Funded Programme,"Codes to describe NZ-specific types of funded programmes",
https://standards.digital.health.nz/ns/hpi-practitioner-role-status-reason-code,1.0.0,active,,PractitionerRoleStatusReason,PractitionerRole status reason,"The reason for the current status of PractitionerRole",
https://standards.digital.health.nz/ns/information-source-code,1.0.0,active,,InformationSource,Information Source,"All possible sources of information",
https://standards.digital.health.nz/ns/iwi-code,2.1.0,active,,Iwi_code,NZ Iwi,"NZ iwi and iwi-related groups statistical classification",
https://standards.digital.health.nz/ns/maori-descent-code,1.0.0,active,,MaoriDescentCodes,Māori descent codes,"Codes for classifying Māori descent. Defined by Stats NZ - Māori descent v1.0.0",
https://standards.digital.health.nz/ns/nz-citizenship-status-code,1.1.0,active,,CitizenshipStatus,NZ Citizenship status,"Is this person a NZ Citizen",
https://standards.digital.health.nz/ns/nz-datum-code,1.0.0,active,,DatumCode,Datum codes,"Possible datum codes",
https://standards.digital.health.nz/ns/nz-ethnic-group-codes,2.1.0,active,,NZ_ethnic_group_codes,NZ ethnic group codes,"Ethnicity New Zealand Standard Classification 2005. Ethnicity is the ethnic group or groups that people identify with or feel they belong to.",
https://standards.digital.health.nz/ns/nz-residency-code,1.1.0,active,,NZResidency,NZ Residency status,"NZ Residency status",
https://standards.digital.health.nz/ns/pho-code,1.1.0,active,,PHO,PHO,"Primary Healthcare Organization",
https://standards.digital.health.nz/ns/practitioner-additional-authorisation-code,1.0.1,active,,AdditionalAuthorisation,Additional Authorisation,"Additional authorisations that a practitioner is authorised to practice or prescribe.",
https://standards.digital.health.nz/ns/practitioner-registration-status-code,2.0,active,,PractitionerRegistrationStatusCode,Registration Status of Practitioners,"The code list represents the current practicing status of the Provider Person as per their registration with an RA.",
https://standards.digital.health.nz/ns/practitioner-scope-of-practice-code,2.1.0,active,,ScopeOfPractice,Scope of practice,"A classification of the type or range of health services that a practitioner is authorised to provide, as determined by the Responsible Authority or other statutory authority (e.g. PHARMAC), that is, what the practitioner can or cannot do. It includes Scope of Practice as defined by the Health Practitioners Competence Assurance Act 2003, any special authorisations granted, and any conditions or limitations imposed by the Responsible Authority.",
